1.疏水参数计算参考值（XlogP）,10.同位素原子数量,11.确定原子立构中心数量,12.不确定原子立构中心数量,13.确定化学键立构中心数量,14.不确定化学键立构中心数量,15.共价键单元数量,2.氢键供体数量,3.氢键受体数量,4.可旋转化学键数量,5.互变异构体数量,6.拓扑分子极性表面积,7.重原子数量,8.表面电荷,9.复杂度,LogP,PSA,RTECS号,Summary,WGK德国,不确定化学键立构中心数量,不确定原子立构中心数量,个人防护装备,中文别名,中文名,中文概述,互变异构体数量,体内研究,体外研究,信号词,储存条件,共价键单元数量,分子式,分子结构,分子量,动物实验,包装等级,危害声明,危害码 (欧洲),危险品运输编码,危险类别,参考文献,可旋转化学键数量,同位素原子数量,复杂度,外观性状,安全声明 (欧洲),密度,折射率,拓扑分子极性表面积（TPSA）,描述,更多,检验检疫,氢键供体数量,氢键受体数量,水溶解性,沸点,海关编码,熔点,申报要素,疏水参数计算参考值（XlogP）,监管条件,相关类别,确定化学键立构中心数量,确定原子立构中心数量,稳定性,符号,精确质量,细胞实验,英文别名,英文名,药物名称,蒸汽压,表面电荷,警示性声明,计算化学,重原子数量,闪点,靶点,风险声明 (欧洲)
无,0,0,0,0,0,2,0,3,4,无,,29,0,542,1.46360,9.49000,BO9000000,,3,,,Eyeshields;Faceshields;full-face respirator (US);Gloves;multi-purpose combination respirator cartridge (US);type ABEK (EN14387) respirator filter,甲基青莲|甲紫|碱性青莲|甲基紫10B|碱性紫3|六甲基玫苯胺盐酸盐|甲基紫|盐基紫3|龙胆紫|六甲副蔷薇苯胺氯化物|六甲基紫,结晶紫,,,,,Warning,1.储存于阴凉、通风的库房。远离火种、热源。2.防止阳光直射。包装密封。应与氧化剂、食用化学品分开存放，切忌混储。3.配备相应品种和数量的消防器材。储区应备有合适的材料收容泄漏物。,,C25H30ClN3,,407.979,,III,H226-H319-H351-H411,T:Toxic,UN 3077,9,"[1].Beveridge, T.J. and S. Schultze-Lam, The response of selected members of the archaea to the gram stain. Microbiology, 1996. 142 ( Pt 10): p. 2887-95.[2].Coico, R., Gram staining. Curr Protoc Microbiol, 2005. Appendix 3: p. Appendix 3C.[3].Bil, J., et al., Statins potentiate cytostatic/cytotoxic activity of sorafenib but not sunitinib against tumor cell lines in vitro. Cancer Lett, 2010. 288(1): p. 57-67.",,,,暗绿色粉末或晶体,S45-S53-S60-S61,1.19 g/cm3 (20ºC),,,结晶紫是革兰氏染色染料。,"1. 性状：具有金属光泽的暗绿色闪光粉末或粒子。2. 密度（g/mL,25℃）：3. 相对蒸汽密度（g/mL,空气=1）：4. 熔点（ºC）：2055. 沸点（ºC,）：6. 沸点（ºC,）：7. 折射率：8. 闪点（ºC）：409. 比旋光度（º）：10. 自燃点或引燃温度（ºC）：11. 蒸气压（kPa,25ºC）：12. 饱和蒸气压（kPa,60ºC）：13. 燃烧热（KJ/mol）：14. 临界温度（ºC）：15. 临界压力（KPa）：16. 油水（辛醇/水）分配系数的对数值：17. 爆炸上限（%,V/V）：18. 爆炸下限（%,V/V）：19. 溶解性：溶于冷水和热水，极易溶于乙醇和三氯甲烷。不溶于乙醚。",,,,,,32041300,215ºC,,,,信号通路>>其他>>其他染料试剂研究领域>>其他,,,1.正确操作不会分解，避免氧化物，暗绿色闪光粉末或粒子。溶于冷水和热水，呈紫色，极易溶于乙醇。于浓硫酸中呈红黄色，稀释后呈暗绿光黄色，然后转变成蓝和紫色。染棉纤维日晒牢度为 1-2 级，染腈纶纤维日晒牢度为 2-3 级。2.浓酸中呈黄色，当ph值增大时其颜色变化是黄→绿→蓝→紫。与Sn4+Ti3+Au3+和Sb3+的卤络阴离子及MoO4-2ReO4-等形成缔合物，能被苯、甲苯等有机溶剂萃取。在溴蒸气存在下，试剂与类脂质产生蓝色物质（ 黄色背景） 。,"GHS02, GHS07, GHS08, GHS09",407.212830,,更多,crystal violet,548-62-9,,,P273-P281-P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:03.氢键受体数量:34.可旋转化学键数量:45.互变异构体数量:无6.拓扑分子极性表面积9.57.重原子数量:298.表面电荷:09.复杂度:54210.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:2,,40ºC,,R22;R41;R45;R50/53
,,,,,,,,,,,,,,,1.67,54.37000,,,,,,Eyeshields;Gloves;type N95 (US);type P1 (EN143) respirator filter,11-酮睾酮,11 -酮睾酮,,,,,,-20°C，密闭，干燥,,C19H26O3,,302.408,,,,,NONH for all modes of transport,,,,,,,,1.2±0.1 g/cm3,1.569,,,,,,,,476.8±45.0 °C at 760 mmHg,,,,,,,,,,,302.188202,,更多,"(8S,9S,10R,13S,14S,17S)-17-hydroxy-10,13-dimethyl-2,6,7,8,9,12,14,15,16,17-decahydro-1H-cyclopenta[a]phenanthrene-3,11-dione",564-35-2,0.0±2.7 mmHg at 25°C,,,,,256.3±25.2 °C,,
,,,,,,,,,,,,,,,1.35,37.30000,,"2916190090 unsaturated acyclic monocarboxylic acids, their anhydrides, halides, peroxides, peroxyacids and their derivatives。supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward)。VAT:17.0%。tax rebate rate:9.0%。MFN tariff:6.5%。general tariff:30.0%",,0,0,,(Z)-2-甲基-2-丁烯酸|2-甲基异巴豆酸|当归酸,白芷酸,"2916190090 其他不饱和无环一元羧酸（包括其酸酐、酰卤化物，过氧化物和过氧酸以及它们的衍生物）。监管条件:AB(入境货物通关单,出境货物通关单)。增值税率:17.0%。退税率:9.0%。最惠国关税:6.5%。普通关税:30.0%",,,,,本品应密封于干燥避光处保存。,1,C5H8O2,五、分子性质数据：1、 摩尔折射率：26.672、 摩尔体积（m3/mol）：99.13、 等张比容（90.2K）：236.24、 表面张力（dyne/cm）：32.25、 极化率（10-24cm3）：10.57,100.116,,II,,,UN 3261,8,"[1].Jung-Eun Ku. Photodamage attenuation effect by angelic acid in UVA irradiation-induced damages in normal human dermal fibroblast. Biomedical Dermatologyvolume 2, Article number: 8 (2018).",1,0,103,淡黄色结晶固体,26-36/37/39,1.0±0.1 g/cm3,1.451,37.3,"Angelic Acid 是一种存在于 Anthemis nobilis 精油中的物质,它以酯的形式存在。Angelic Acid 有助于伤口愈合,具有镇静和精神药物的特性。","1. 性状：无色单斜、棒状、针状或片状结晶。有香辣气味。能升华，能随水蒸气挥发。2. 密度（g/mL,25/4℃）：0.9833. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：455. 沸点（ºC,常压）：1856. 沸点（ºC,5.2kPa）：未确定7. 折射率：1.44348. 闪点（ºC）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：易溶于热水，溶于乙醇和乙醚，微溶于冷水。其水溶液长时间煮沸可引起异构化而成惕各酸（Tigic acid），在痕量溴存在和阳光下，或强酸、强碱存在下，反应速度加快。",R.进口食品卫生监督检验 S.出口食品卫生监督检验 M.进口商品检验 N.出口商品检验,1,2,,198.5±0.0 °C at 760 mmHg,2916190090,44ºC,"品名, 成分含量, 用途, 丙烯酸、丙烯酸盐或酯应报明包装",1,A.入境货物通关单 B.出境货物通关单,信号通路>>其他>>其他研究领域>>神经疾病,1,0,,,100.052429,,更多,angelic acid,565-63-9,0.2±0.7 mmHg at 25°C,0,,1、 疏水参数计算参考值（XlogP）：12、 氢键供体数量：13、 氢键受体数量：24、 可旋转化学键数量：15、 拓扑分子极性表面积（TPSA）：37.36、 重原子数量：77、 表面电荷：08、 复杂度：1039、 同位素原子数量：010、 确定原子立构中心数量：011、 不确定原子立构中心数量：012、 确定化学键立构中心数量：113、 不确定化学键立构中心数量：014、 共价键单元数量：1,7,95.9±9.6 °C,,R34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579-58-8,,,,,,,,
,,,,,,,,,,,,,,,0.93,160.88000,AU7355000,,3,,,Eyeshields;Faceshields;Gloves;half-mask respirator (US);multi-purpose combination respirator cartridge (US),嘌呤霉素二盐酸盐|二氢氯化嘌呤毒素,嘌呤霉素盐酸盐,,,,"嘌呤霉素在氨酰基-sRNA形成后阻断蛋白质合成,同时它导致小肽的积累。这两种效应似乎都是由于核糖体结合的肽基-sRNA的分裂,导致不完整肽链的释放[1]。嘌呤霉素是氨酰基-tRNA的3'末端的类似物,通过与生长的多肽链非特异性连接而导致翻译过早终止。嘌呤霉素具有两种抑制作用模式。第一种是通过作为受体底物,其攻击P位点中的肽基-tRNA以形成新生肽。第二种是通过与氨酰基-tRNA竞争结合A'位点[2]。当以最小量使用时,嘌呤霉素掺入新合成的蛋白质直接反映体外mRNA翻译的速率。嘌呤霉素免疫检测是放射性氨基酸标记的有利替代方案。它允许通过免疫荧光显微镜直接评估单细胞中的翻译活性,并通过荧光激活细胞分选直接评估异质细胞群[3]。",Warning,本品应充氩气密封于0℃以下干燥避光保存。,,C22H31Cl2N7O5,五、分子性质数据：1、 摩尔折射率：120.56,544.43,,III,H302,Xn,UN 3249,6.1(b),"[1].Nathans D, et al. Puromycin inhibition of protein synthesis: incorporation of puromycin intopeptide chains. Proc Natl Acad Sci U S A. 1964 Apr;51:585-92.[2].Miyamoto-Sato E, et al. Specific bonding of puromycin to full-length protein at the C-terminus. Nucleic Acids Res. 2000 Mar 1;28(5):1176-82.[3].Schmidt EK, et al. SUnSET, a nonradioactive method to monitor protein synthesis. Nat Methods. 2009 Apr;6(4):275-7.",,,,白色粉末,S36,1.5±0.1 g/cm3,1.701,,Puromycin dihydrochloride是嘌呤霉素的二盐酸盐。 Puromycin是一种抑制 protein synthesis 的氨基糖苷类抗生素。,"1. 性状：结晶。有吸湿性。对光敏感。2. 密度（g/mL,25/4℃）： 未确定3. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：175.5～177.05. 沸点（ºC,常压）：未确定6. 沸点（ºC）：140-150℃（1.33×10-5kPa）7. 折射率：未确定8. 闪点（ºC）：未确定9. 比旋光度（º）：-1110. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：易溶于水。",,,,H2O: soluble50mg/mL (Sterilize stock solution by filtration using 0.22 μm filter then store in aliquots at 20 °C.) | Soluble in water,,,168-170℃,,,,信号通路>>抗感染>>细菌天然产物>>其他研究领域>>感染,,,Stable. Heat sensitive. Incompatible with strong oxidizing agents.,GHS07,,,更多,Puromycin dihydrochloride hydrate,58-58-2,,,,,,,,R22
3.1,0,0,0,2,0,1,2,4,3,3,49.2,22,0,480,2.77980,40.46000,,,,,,,黄青霉素|青黴黃素X,占托西林,,,,"Xantocillin(SD118-xanthocillin X(1))(6.9-55.56μM; 48小时)对HepG2细胞的增殖具有显着的抑制作用,IC50为22.88±4.76μM[1]。 Xantocillin(SD118-xanthocillin X(1))(24.3μM; 12-48小时)增加自噬相关基因LC3和Beclin 1的表达[1]。细胞增殖测定[1]细胞系：HepG2细胞浓度：6.9μM,13.89μM,27.78μM,55.56μM孵育时间：48小时结果：HepG2细胞对细胞生长的浓度依赖性抑制作用,IC50为22.88± 4.76μM。蛋白质印迹分析[1]细胞系：HepG2细胞浓度：24.3μM孵育时间：12小时,24小时,48小时结果：增加自噬相关基因,LC3和Beclin 1的表达。",,,,C18H12N2O2,,288.30,,,,,,,"[1].Zhao Y,et al. SD118-xanthocillin X (1), a novel marine agent extracted from Penicillium commune, induces autophagy through the inhibition of the MEK/ERK pathway. Mar Drugs. 2012 Jun;10(6):1345-59.",,,,,,,,,"Xanthocillin 是从青霉中提取的一种海洋药剂,通过抑制 MEK/ERK 途径诱导自噬。",,,,,,,,,,,,研究领域>>癌症信号通路>>MAPK/ERK信号通路>>MEK信号通路>>MAPK/ERK信号通路>>ERK信号通路>>干细胞及 Wnt 通路>>ERK,,,,,288.09000,,更多,"1,4-Di-p-oxyphenyl-2,3-di-isonitrilo-1,3-butadiene",580-74-5,,,,1.疏水参数计算参考值（XlogP）:3.12.氢键供体数量:23.氢键受体数量:44.可旋转化学键数量:35.互变异构体数量:36.拓扑分子极性表面积:49.27.重原子数量:228.表面电荷:09.复杂度:48010.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:214.不确定化学键立构中心数量:015.共价键单元数量:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602-99-3,,,,,,,,
,,,,,,,,,,,,,,,2.69240,52.60000,,,,,,,,苯甲醯柳酸甲酯,,,,,,,,C15H12O4,,256.25300,,,,,,,,,,,,,1.215g/cm3,1.575,,,,,,,,385.6ºC at 760 mmHg,,,,,,,,,,,256.07400,,更多,methyl 2-benzoyloxybenzoate,610-60-6,,,,,,193.8ºC,,
,,,,,,,,,,,,,,,0.50160,97.99000,,"HS: 2918290000 other carboxylic acids with phenol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives Tax rebate rate:9.0% Supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward) VAT:17.0% MFN tariff:6.5% General tariff:30.0%",,,,,,"2,4,5-三羟基苯甲酸","2918290000 其他含酚基但不含其他含氧基羧酸及其酸酐、酰卤化物、过氧化物和过氧酸及它们的衍生物。监管条件:AB(入境货物通关单,出境货物通关单)。增值税率:17.0%。退税率:9.0%。最惠国关税:6.5%。普通关税:30.0%",,,,,,,C7H6O5,,170.12000,,,,,,,,,,,,,1.749g/cm3,,,,,R.进口食品卫生监督检验 S.出口食品卫生监督检验,,,,493.3ºC at 760mmHg,2918290000,,"品名, 成分含量, 用途",,A.入境货物通关单 B.出境货物通关单,,,,,,170.02200,,更多,"2,4,5-trihydroxybenzoic acid",610-90-2,,,,,,266.3ºC,,
无,0,0,0,0,0,1,0,3,3,无,,12,0,156,1.38,35.53000,,,,,,Eyeshields;Gloves,乙酸-2-愈创木酚酯|2-愈创木酚乙酸酯|2-甲氧基乙酸苯酯|乙酸2-甲氧基苯酯|2-甲氧基苯基乙酸酯|乙酸-2-甲氧基苯酯,邻甲氧基苯乙酸酯,,,,,,贮存：将密器密封，储存密封的主藏器内，并放在阴凉， 干爽的位置。,,C9H10O3,五、分子性质数据：1、 摩尔折射率：44.272、 摩尔体积（m3/mol）：151.03、 等张比容（90.2K）：365.44、 表面张力（dyne/cm）：34.25、 极化率（10-24cm3）：17.55,166.174,,,,,NONH for all modes of transport,,,,,,,,1.1±0.1 g/cm3,1.498,,,"一、物性数据1. 沸点（ºC,常压）：122-124°C18mm Hg(lit.)2. 密度：1.129g/mLat 25°C(lit.3. 折射率：n20/D 1.514(lit.)4. 闪点（ºC）：230°F",,,,,238.6±0.0 °C at 760 mmHg,,,,,,,,,性质与稳定性：常温常压下，或不分解产物。,,166.062988,,更多,2-Methoxyphenyl Acetate,613-70-7,0.0±0.4 mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:03.氢键受体数量:34.可旋转化学键数量:35.互变异构体数量:无6.拓扑分子极性表面积35.57.重原子数量:128.表面电荷:09.复杂度:15610.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,78.4±14.4 °C,,
0.2,0,0,0,0,0,1,0,4,2,无,,6,0,46.8,-0.43,54.74000,WT3512000,,3,,,Eyeshields;Faceshields;full-face respirator (US);Gloves;multi-purpose combination respirator cartridge (US);type ABEK (EN14387) respirator filter,甲基亚硫酸酯,亚硫酸二甲酯,,,,,Warning,贮存：将密器密封，储存密封的主藏器内，并放在阴凉， 干爽的位置。,,C2H6O3S,五、分子性质数据：1、 摩尔折射率：23.662、 摩尔体积（m3/mol）：83.73、 等张比容（90.2K）：221.94、 表面张力（dyne/cm）：49.25、 极化率（10-24cm3）：9.38,110.132,,III,H226-H315-H319-H335,Xi:Irritant;,UN 1993 3/PG 3,3.2,,,,,透明无色液体,S26-S36-S24/25-S16,1.3±0.1 g/cm3,1.477,,,物性数据：   1.  熔点（ ℃ ）： 35-38℃,,,,soluble,126.0±0.0 °C at 760 mmHg,29209085,,,,,,,,性质与稳定性：常温常压下，或不分解产物。,"GHS02, GHS07",110.003761,,更多,dimethyl sulfite,616-42-2,14.4±0.2 mmHg at 25°C,,P261-P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:0.22.氢键供体数量:03.氢键受体数量:44.可旋转化学键数量:25.互变异构体数量:无6.拓扑分子极性表面积54.77.重原子数量:68.表面电荷:09.复杂度:46.810.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,41.1±0.0 °C,,R10;R36/37/38
,,,,,,,,,,,,,,,5.32,20.23000,,,,,,,"4,6-二-叔丁基-o-甲酚|2,4-二(1,1-二甲乙基)-6-甲酚","4,6-二叔丁基邻甲酚",,,,,,室温,,C15H24O,,220.350,,,,Xi,,,,,,,,,0.9±0.1 g/cm3,1.499,,,,,,,,269.0±0.0 °C at 760 mmHg,,50-52ºC,,,,,,,,,220.182709,,更多,"2,4-ditert-butyl-6-methylphenol",616-55-7,0.0±0.5 mmHg at 25°C,,,,,123.0±8.4 °C,,
,,,,,,,,,,,,,,,4.59910,17.07000,,2914399090. other aromatic ketones without other oxygen function. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:5.5%. General tariff:30.0%,,,,,"反,反－二(4－甲基苯乙烯基)甲酮","(1E,4e)-1,5-二对甲苯-1,4-戊二烯-3-酮",2914399090. 其他不含其他含氧基的芳香酮. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:5.5%. 普通关税:30.0%,,,,,,,C19H18O,,262.34600,,,,,,,,,,,,,1.068g/cm3,1.629,,,,,,,,430.4ºC at 760 mmHg,2914399090,,"品名, 成分含量, 用途, 丙酮报明包装",,,,,,,,262.13600,,更多,"(1E,4E)-1,5-Di-p-tolylpenta-1,4-dien-3-one",621-98-7,,,,,,188.6ºC,,
,,,,,,,,,,,,,,,2.14240,43.09000,,,,,,,,庚酰胺,,,,,,2-8°C,,C7H15NO,,129.20000,,,,,,,,,,,,,0.891g/cm3,1.438,,,,,,,,254ºC at 760 mmHg,,96 °C,,,,,,,,,129.11500,,更多,heptanamide,628-62-6,,,,,,110.9ºC,,
无,0,0,0,0,0,2,0,2,10,无,,15,0,138,2.65720,40.13000,OF0700000,"2915900090 other saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives VAT:17.0% Tax rebate rate:9.0% Supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward) MFN tariff:5.5% General tariff:30.0%",1,,,dust mask type N95 (US);Eyeshields;Faceshields;Gloves,十二酸钠,月桂酸钠,"2915900090. 其他饱和无环一元羧酸及其酸酐（酰卤、过氧）化物、过氧酸及其卤化、硝化、磺化、亚硝化衍生物. 增值税率:17.0%. 退税率:9.0%. 监管条件:AB(入境货物通关单,出境货物通关单). 最惠国关税:5.5%. 普通关税:30.0%",,,,Danger,1.存放在密封容器内，并放在阴凉，干燥处。储存的地方必须远离氧化剂。2.内衬塑料袋，外用编织袋包装。每袋25kg。按一般化学品规定。,,C12H23NaO2,,222.300,,,H315-H318-H335,Xi: Irritant;N: Dangerous for the environment;,UN 3077 9/PG 3,9.0,,,,,略黄色粉末,S26-S61,1.102 g/cm3,,,,"1. 性状：白色至浅黄色结晶性粉末。2. 密度（g/mL,25/4℃）：未确定3. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：240-2445. 沸点（ºC,常压）：未确定6. 沸点（ºC,5.2kPa）：未确定7. 折射率：未确定8. 闪点（ºC）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：溶于热水和热乙醇，微溶于冷乙醇。",R.进口食品卫生监督检验 S.出口食品卫生监督检验 M.进口商品检验 N.出口商品检验,,,,296.1ºC at 760 mmHg,2915900090,43.8ºC,"品名, 成分含量, 用途",,A.入境货物通关单 B.出境货物通关单,,,,1.远离氧化物，强酸，强碱。2.本品低毒。小鼠最低致死量LC50:400mg/kg。,"GHS05, GHS07",222.159576,,更多,lauric acid sodium salt,629-25-4,,,P280-P305 + P351 + P338 + P310,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:03.氢键受体数量:24.可旋转化学键数量:105.互变异构体数量:无6.拓扑分子极性表面积40.17.重原子数量:158.表面电荷:09.复杂度:13810.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:2,,134.1ºC,,R37/38
无,0,0,0,0,0,1,0,0,16,无,,19,0,145,7.68290,,,,3,,,dust mask type N95 (US);Eyeshields;Gloves,硬脂基碘|碘代十八烷|十八烷基碘,1-碘十八烷,,,,,Warning,存放在密封容器内，并放在阴凉，干燥处，室温避光保存。储存的地方必须远离氧化剂。,,C18H37I,1、 摩尔折射率：98.402、 摩尔体积（m3/mol）：344.43、 等张比容（90.2K）：822.24、 表面张力（dyne/cm）：32.45、 极化率（10-24cm3）：39.01,380.39100,,,H315-H319-H335,Xi: Irritant;,NONH for all modes of transport,,,,,,淡黄色结晶,S26-S36,1.104 g/cm3,1.483,,,"1. 性状：浅黄色或者棕色结晶或者结晶性粉末。2. 密度（g/mL,25/4℃）：未确定3. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：33-355. 沸点（ºC,常压）：194-1976. 沸点（ºC,5.2kPa）：未确定7. 折射率：未确定8. 闪点（ºC）：1109. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：几乎不溶于水，溶于乙醇，丙酮。",,,,,194-197 °C2 mm Hg(lit.),,33-35 °C(lit.),,,,,,,远离氧化物，光，热，碱。,GHS07,380.19400,,更多,1-Iodooctadecane,629-93-6,,,P261-P305 + P351 + P338,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:03.氢键受体数量:04.可旋转化学键数量:165.互变异构体数量:无6.拓扑分子极性表面积07.重原子数量:198.表面电荷:09.复杂度:14510.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,110 °C,,R36/37/38
,,,,,,,,,,,,,,,2.32180,17.07000,,2912190090 acyclic aldehydes without other oxygen function。Supervision conditions:None。VAT:17.0%。Tax rebate rate:9.0%。MFN tariff:5.5%。General tariff:30.0%,,0,0,,2-乙-2-己烯醛|Α-乙-Β-丙基丙烯醛|2-乙基-3-丙基丙烯醇|2-乙基己烯醛,2-乙基-2-己烯醛,HS: 2912190090. 其他无环醛（不含其他含氧基）. 增值税率:17.0%. 退税率:9.0%. 监管条件:无. 最惠国关税:5.5%. 普通关税:30.0%,,,,,室温，干燥，惰性气体存储,1,C8H14O,1、 摩尔折射率：39.192、 摩尔体积（m3/mol）：151.33、 等张比容（90.2K）：342.74、 表面张力（dyne/cm）：26.35、 极化率（10-24cm3）：15.53,126.19600,,,,,UN 1760,3.2,,4,0,103,无色液体带有一种强烈的气味,S26;S36/S37/S39,0.85 g/cm3,1.431,17.1,,"1. 性状：。2. 密度（g/mL,25/4℃）：3. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：5. 沸点（ºC,常压）：6. 沸点（ºC,5.2kPa）：未确定7. 折射率：8. 闪点（ºC）：9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：。",,0,1,,175ºC,2912190090,,"品名, 成分含量, 用途, 四聚甲醛报明外观",2.3,,,0,0,,,126.10400,,更多,"2-Hexenal, 2-ethyl",645-62-5,,0,,1、 疏水参数计算参考值（XlogP）：2.32、 氢键供体数量：03、 氢键受体数量：14、 可旋转化学键数量：45、 拓扑分子极性表面积（TPSA）：17.16、 重原子数量：97、 表面电荷：08、 复杂度：1039、 同位素原子数量：010、 确定原子立构中心数量：011、 不确定原子立构中心数量：012、 确定化学键立构中心数量：013、 不确定化学键立构中心数量：014、 共价键单元数量：1,9,68ºC,,36/37/38
,,,,,,,,,,,,,,,3.20,26.02000,,,,,,,3-氟-5-碘代苯胺,3-氟-5-碘苯胺,,,,,,室温,,C6H5FIN,,237.014,,,,Xi,,,,,,,,26-36/37/39,2.0±0.1 g/cm3,1.657,,,,,,,,279.5±25.0 °C at 760 mmHg,,,,,,,,,,,236.945068,,更多,3-Fluoro-5-iodoaniline,660-49-1,0.0±0.6 mmHg at 25°C,,,,,122.8±23.2 °C,,R36/37/38
